Ano Mes Dia H M S Dist(cm) Dist2(cm) T(°C) P(Pa)
2019 10 6 11 1 50 58.89 79.46 34.40 101718.86
2019 10 6 11 1 50 54.69 75.05 34.43 101719.26
2019 10 6 11 1 51 51.31 51.68 34.45 101719.06
2019 10 6 11 1 51 48.99 56.29 34.48 101718.95
2019 10 6 11 1 52 47.40 49.52 34.54 101719.60
2019 10 6 11 1 52 46.44 46.14 34.57 101720.13
2019 10 6 11 1 53 45.70 42.80 34.60 101720.60
2019 10 6 11 1 54 45.42 47.53 34.63 101720.70
2019 10 6 11 1 54 43.96 39.91 34.66 101721.10
2019 10 6 11 1 55 43.20 37.09 34.71 101721.38
2019 10 6 11 1 55 43.42 39.09 34.74 101721.43
2019 10 6 11 1 56 42.52 34.03 34.77 101721.66
2019 10 6 11 1 56 41.79 32.96 34.79 101721.73
2019 10 6 11 1 57 41.53 32.51 34.85 101721.77
2019 10 6 11 1 57 42.01 31.96 34.87 101721.81
2019 10 6 11 1 58 44.81 37.24 34.90 101721.95
2019 10 6 11 1 59 49.91 68.03 34.92 101722.09
2019 10 6 11 1 59 59.19 94.54 34.95 101722.32
2019 10 6 11 2 0 67.29 103.89 35.00 101721.91
2019 10 6 11 2 0 75.97 188.94 35.03 101721.36
2019 10 6 11 2 1 86.31 127.73 35.06 101721.58
2019 10 6 11 2 1 95.05 1556.25 35.08 101720.89
2019 10 6 11 2 2 104.01 -634.18 35.12 101720.63
2019 10 6 11 2 3 112.90 -634.18 35.14 101720.17
2019 10 6 11 2 3 118.52 -679.74 35.16 101720.02
2019 10 6 11 2 4 124.30 -679.74 35.18 101719.34
2019 10 6 11 2 4 129.86 -634.18 35.22 101718.30
2019 10 6 11 2 5 131.02 -793.79 35.24 101717.78
2019 10 6 11 2 5 131.22 -679.74 35.26 101717.55
2019 10 6 11 2 6 132.01 -634.18 35.27 101717.02
2019 10 6 11 2 6 131.87 -1194.70 35.29 101716.16
2019 10 6 11 2 7 133.11 -634.18 35.31 101715.80
2019 10 6 11 2 8 133.18 -559.22 35.32 101715.22
2019 10 6 11 2 8 132.09 -634.18 35.34 101714.59
2019 10 6 11 2 9 131.70 -634.18 35.37 101713.98
2019 10 6 11 2 9 131.94 -732.35 35.39 101713.56
2019 10 6 11 2 10 130.65 -634.18 35.41 101713.06
2019 10 6 11 2 10 128.57 -634.18 35.43 101712.56
2019 10 6 11 2 11 127.26 -679.74 35.46 101712.12
2019 10 6 11 2 12 124.59 181.68 35.48 101712.00
2019 10 6 11 2 12 124.83 -634.18 35.49 101711.86
2019 10 6 11 2 13 125.53 -679.74 35.49 101711.55
2019 10 6 11 2 13 124.93 99.52 35.52 101711.17
2019 10 6 11 2 14 123.28 236.08 35.53 101710.38
2019 10 6 11 2 14 127.40 154.91 35.54 101710.35
2019 10 6 11 2 15 125.02 85.18 35.56 101709.77
2019 10 6 11 2 16 127.14 108.66 35.60 101709.23
2019 10 6 11 2 16 125.14 51.68 35.62 101709.46
2019 10 6 11 2 17 116.99 362.81 35.64 101708.91
2019 10 6 11 2 17 122.60 136.97 35.66 101709.19
2019 10 6 11 2 18 122.76 24.83 35.68 101709.49
2019 10 6 11 2 18 127.76 129.47 35.69 101709.01
2019 10 6 11 2 19 132.67 236.08 35.70 101709.28
2019 10 6 11 2 20 127.98 -634.18 35.70 101709.16
2019 10 6 11 2 20 130.14 74.46 35.69 101710.34
